word,x,y
little,517.6579,229.34648
good,-543.2106,42.891495
great,-628.72906,27.379686
young,335.572,-218.07396
dear,-411.34134,-574.9772
sure,-259.2687,421.19016
happy,-383.12857,-1005.5233
better,-648.8871,803.46826
possible,-32.28308,-274.33975
certain,-951.86163,-155.88205
able,-153.19484,977.9316
general,-605.49,151.75119
agreeable,-153.19484,977.9316
impossible,903.25793,52.94797
present,-360.2953,-131.86354
short,-52.484406,323.03934
ill,903.25793,52.94797
handsome,-383.12857,-1005.5233
best,-648.8871,803.46826
glad,-605.49,151.75119
afraid,-153.19484,977.9316
amiable,-153.19484,977.9316
different,-634.49066,-582.7671
sorry,-259.2687,421.19016
pleased,-360.2953,-131.86354
usual,724.3881,-534.7766
likely,434.9356,336.51242
sensible,-259.2687,421.19016
necessary,497.98947,-103.91247
real,115.43899,-1084.4272
long,434.9356,336.51242
fine,211.55492,-578.76965
poor,-190.54883,-258.8649
equal,798.5389,612.6109
satisfied,-259.2687,421.19016
younger,366.8219,-261.70593
surprised,-52.484406,323.03934
particular,-190.54883,-258.8649
silent,-52.484406,323.03934
anxious,-153.19484,977.9316
greater,-605.49,151.75119
second,-259.2687,421.19016
large,434.9356,336.51242
new,497.98947,-103.91247
small,-259.2687,421.19016
married,-924.8581,439.74445
natural,497.98947,-103.91247
true,257.9951,711.35944
pleasant,-190.54883,-258.8649
pleasing,-93.74354,-131.5854
fair,119.799675,-706.18134
eldest,798.5389,612.6109
easy,798.5389,612.6109
proud,-93.74354,-131.5854
charming,-951.86163,-155.88205
greatest,-605.49,151.75119
proper,-190.54883,-258.8649
ready,115.43899,-1084.4272
right,115.43899,-1084.4272
excellent,798.5389,612.6109
delightful,-634.49066,-582.7671
common,-951.86163,-155.88205
strong,-52.484406,323.03934
civil,-951.86163,-155.88205
evident,798.5389,612.6109
slight,-259.2687,421.19016
capable,-951.86163,-155.88205
delighted,-634.49066,-582.7671
angry,-153.19484,977.9316
perfect,-93.74354,-131.5854
kind,192.4397,-326.7464
affectionate,-153.19484,977.9316
extraordinary,798.5389,612.6109
fond,211.55492,-578.76965
late,434.9356,336.51242
indifferent,903.25793,52.94797
favourite,119.799675,-706.18134
ashamed,-153.19484,977.9316
ignorant,903.25793,52.94797
high,-383.12857,-1005.5233
lively,434.9356,336.51242
fortunate,-71.912224,-687.6213
beautiful,-648.8871,803.46826
tolerable,257.9951,711.35944
bad,-648.8871,803.46826
mistaken,-924.8581,439.74445
superior,-259.2687,421.19016
cold,-951.86163,-155.88205
earnest,798.5389,612.6109
unable,724.3881,-534.7766
disagreeable,-634.49066,-582.7671
pretty,-208.2448,-64.90282
elegant,798.5389,612.6109
interesting,903.25793,52.94797
aware,-153.19484,977.9316
reasonable,115.43899,-1084.4272
old,224.95148,31.965883
respectable,115.43899,-1084.4272
frequent,211.55492,-578.76965
worse,494.54434,1034.9302
grateful,-605.49,151.75119
painful,-190.54883,-258.8649
silly,-52.484406,323.03934
youngest,366.8219,-261.70593
favourable,-71.912224,-687.6213
principal,-360.2953,-131.86354
worth,494.54434,1034.9302
intimate,903.25793,52.94797
convinced,-951.86163,-155.88205
rich,115.43899,-1084.4272
early,798.5389,612.6109
false,-71.912224,-687.6213
comfortable,-951.86163,-155.88205
eager,798.5389,612.6109
constant,-951.86163,-155.88205
immediate,903.25793,52.94797
probable,-360.2953,-131.86354
unhappy,724.3881,-534.7766
single,-52.484406,323.03934
difficult,-634.49066,-582.7671
noble,497.98947,-103.91247
private,-93.74354,-131.5854
smallest,-52.484406,323.03934
half,-383.12857,-1005.5233
desirable,-411.34134,-574.9772
wrong,494.54434,1034.9302
wild,494.54434,1034.9302
Good,-605.49,151.75119
open,224.95148,31.965883
generous,-605.49,151.75119
dreadful,-634.49066,-582.7671
natured,497.98947,-103.91247
determined,-634.49066,-582.7671
quick,147.8543,-187.7785
insufficient,903.25793,52.94797
unlucky,724.3881,-534.7766
violent,551.8523,-994.5057
steady,-259.2687,421.19016
attentive,-153.19484,977.9316
partial,-93.74354,-131.5854
strange,-259.2687,421.19016
plain,-93.74354,-131.5854
astonished,-153.19484,977.9316
important,903.25793,52.94797
rational,115.43899,-1084.4272
utmost,724.3881,-534.7766
sincere,-259.2687,421.19016
awkward,-153.19484,977.9316
imprudent,903.25793,52.94797
dearest,-634.49066,-582.7671
happiest,-383.12857,-1005.5233
unwilling,724.3881,-534.7766
highest,-383.12857,-1005.5233
valuable,551.8523,-994.5057
considerable,-951.86163,-155.88205
welcome,494.54434,1034.9302
humble,-383.12857,-1005.5233
fresh,57.38613,-548.7929
wretched,494.54434,1034.9302
gratified,-605.49,151.75119
accomplished,-153.19484,977.9316
vain,551.8523,-994.5057
safe,-259.2687,421.19016
severe,-259.2687,421.19016
impatient,903.25793,52.94797
unknown,724.3881,-534.7766
foolish,211.55492,-578.76965
uneasy,724.3881,-534.7766
inclined,903.25793,52.94797
low,434.9356,336.51242
idle,903.25793,52.94797
public,-190.54883,-258.8649
sudden,-52.484406,323.03934
thankful,257.9951,711.35944
incapable,903.25793,52.94797
formal,211.55492,-578.76965
future,211.55492,-578.76965
unpleasant,724.3881,-534.7766
gracious,-605.49,151.75119
quiet,147.8543,-187.7785
elder,798.5389,612.6109
humoured,-383.12857,-1005.5233
selfish,-259.2687,421.19016
satisfactory,-259.2687,421.19016
tall,257.9951,711.35944
clever,-951.86163,-155.88205
sweet,-259.2687,421.19016
friendly,57.38613,-548.7929
cheerful,-951.86163,-155.88205
uncomfortable,724.3881,-534.7766
domestic,-634.49066,-582.7671
concerned,-951.86163,-155.88205
remarkable,115.43899,-1084.4272
weak,494.54434,1034.9302
unexpected,724.3881,-534.7766
free,57.38613,-548.7929
unreasonable,724.3881,-534.7766
disappointed,-411.34134,-574.9772
eligible,798.5389,612.6109
desirous,-411.34134,-574.9772
hopeless,-383.12857,-1005.5233
improbable,903.25793,52.94797
worst,494.54434,1034.9302
earliest,798.5389,612.6109
sick,-52.484406,323.03934
shocking,-52.484406,323.03934
conceited,-951.86163,-155.88205
blind,-648.8871,803.46826
impertinent,903.25793,52.94797
secure,-52.484406,323.03934
mortifying,-924.8581,439.74445
grave,-605.49,151.75119
lucky,434.9356,336.51242
abominable,-153.19484,977.9316
larger,434.9356,336.51242
miserable,-924.8581,439.74445
advisable,-153.19484,977.9316
delicate,-634.49066,-582.7671
opposite,224.95148,31.965883
wisest,494.54434,1034.9302
occasional,224.95148,31.965883
acceptable,-153.19484,977.9316
interested,903.25793,52.94797
useful,724.3881,-534.7766
willing,494.54434,1034.9302
warm,494.54434,1034.9302
stronger,-259.2687,421.19016
useless,724.3881,-534.7766
embarrassed,798.5389,612.6109
hard,-383.12857,-1005.5233
fancy,119.799675,-706.18134
distressed,-634.49066,-582.7671
shocked,-259.2687,421.19016
unfortunate,724.3881,-534.7766
odd,224.95148,31.965883
distant,-634.49066,-582.7671
unaffected,724.3881,-534.7766
complete,-951.86163,-155.88205
human,-383.12857,-1005.5233
deficient,-411.34134,-574.9772
imaginary,903.25793,52.94797
similar,-259.2687,421.19016
clear,-951.86163,-155.88205
light,434.9356,336.51242
convenient,-951.86163,-155.88205
vacant,551.8523,-994.5057
